state,fee,notary,witness,contact type,mail,original copy,ink,typed or printed,fax,email,electronic form,response,response time,notes,code
Alabama,NO,NO,YES,Office,YES,YES,blue or black; blue ink preferred,print or type,NO,NO,NO,Uses form; includes attached report,,,AL
Alaska,NO,NO,NO,Office,YES,NO,unspecified,print or type,YES,YES,NO,Uses form; includes attached report,30 days,"Says fee is ""not yet""
Requires cover letter and/or applicant DL",AK
American Samoa,YES,unspecified,unspecified,Person,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,NO,unspecified,unspecified,Email to request form,AS
Arizona,NO,NO,NO,Office,YES,YES,n/a,typed,NO,YES,NO,Uses form; includes attached report,,"Confusingly asks for applicant's email, doesn't seem to ask for requestor's info?

",AZ
Arkansas,NO,NO,NO,Office,NO,NO,unspecified,print or type,YES,NO,NO,unspecified,7-10 days,"Confusingly expects an AR notary

Fee is $10 and must be paid via check or money order. The fee is waived if the organization is a 501c3 but not for states. 

Standard cover letter on state letterhead is required along with request form. ",AR
California,YES,NO,NO,Office,YES,YES,n/a,typed,NO,NO,NO,"Uses form; includes name of reporting agency, the date of the report, the report number and/or case name. By California law the requesting agency must confirm the information by retrieving and examining the actual records identified in the CACI.",30 days,CA does not have a mechanism for releasing information for the purpose of Investigation unless to Law Enforcement conducting an investigation of a child abuse case.,CA
Colorado,YES,NO,NO,Office,YES,NO,n/a,typed,NO,NO,NO,Results letter,30 days,"The form generates one results letter. If the requesting agency requires the results letter to be sent to multiple parties, a second request and fee must be submitted. 

It states that the results letter will only list ONE marriage partner. Therefore, it appears that separate child abuse/neglect background investigation request forms and fees are required for each marriage partner (potentially a huge hassle if the person under investigation has been married several times? do out-of-state clearances usually cover marriage partners?)",CO
Connecticut,NO,NO,NO,Office,YES,NO,unspecified,print or type,YES,YES,NO,"Uses form; includes attached report. If no history, a statement of ""No Record Found"" is stamped, dated, and initialed on the letter.",Usually within 48 hours but can be up to 4 weeks during peak times,"Provides email address to contact if no background check results have been received within 4 weeks. 

Form is only 1 page and is very straightforward",CT
Delaware,YES,NO,NO,Office,NO,NO,n/a,portal only,NO,NO,YES,User receives an email when results are ready. They must then log in to the portal and select the appropriate request to see the results. They can download and print the results letter from the portal.,10 days,"Request must be submitted through the Delaware Child Protection Registry Request Web Portal (built on Salesforce). A login must be created before a user can access the electronic form. Agencies as well as individuals can register and submit requests. It is unclear whether multiple individuals from the same agency can register.

A paper consent form must be filled out by the person to be investigated and uploaded to the online portal for each request.

From the user instructions, it appears that the portal is not terribly intuitive. For example, the user must remember a unique ID from their welcome email, enter that ID to create a new contact in the system for their agency, and then create a new CPR request and relate it to the agency contact. There are 20 distinct steps involved in creating a request in the system. ",DE
District of Columbia,NO,YES,NO,Office,YES,YES,Must be signed in blue ink,print or type,NO?,NO,NO,"Results letters will be provided by encrypted email or e-fax only, no results will be mailed.",30 days,"Accepting electronic requests during pandemic. Hand delivered applications are accepted normally in addition to submissions by mail, but this is suspended during COVID-19. 

Can we find the pre-pandenmic blue ink black ink requirements? We heard this from two different people. The blue ink signature requirement is stated on the form, but I have not been able to find where it states that the form must be filled in black ink. 

For electronic submissions, must name the application file “firstname_lastname_app_mm-dd-yy.pdf""

Kinship caregivers and foster parents in DC that are licensed by CFSA do not need to have the form notarized as they can prove their identity with the licensing worker directly. The licensing worker can sign the form in place of having it notarized. The notary requirement for those who do not meet this exception is relaxed during the COVID-19 pandemic - a color copy of a government-issued ID is accepted in lieu of a notary signature (can also be uploaded). ",DC
Florida,NO,NO,NO,Office,NO,NO,unspecified,unspecified,YES,YES,NO,unspecified,unspecified,"The form requests only very basic information for the applicant and does not ask about the applicant's family members, past and current jobs, past addresses, etc. It is very difficult to find additional information about Adam Walsh clearances anywhere on Florida's website.",FL
Georgia,NO,NO,NO,Office,NO,NO,n/a,Typed,NO,YES,YES,unspecified,unspecified,"A request may be submitted via Georgia's online portal, Child Protective Services Information System (CPSIS) Child Abuse Registry. Private foster care agencies are not permitted to use the portal. 

Georgia also has a PDF version of the request form that may be filled and submitted via email. To verify the identity of the requesting agency, the agency must submit a written request on agency letterhead via email along with the request form. 

It is challenging to find information on Georgia's Adam Walsh process. There is no central repository of information on Georgia's website. ",GA
Guam,NO,NO,NO,Person,unspecified,YES,unspecified,unspecified,unspecified,unspecified,NO,unspecified,unspecified,"No specific form. Requesting agency should print request for information on its letterhead. Signed release is also required, but it is unclear how to find this/how it should be formatted.",GU
Hawaii,NO,NO,NO,Office,YES,YES,unspecified,print or type,NO,NO,NO,Type of response unspecified. Response will include the date of any confirmed incidents of abuse as well as the type of abuse for each incident.,unspecified,"Form is very basic, asking only for contact information of the investigating agency and the person being investigated.",HI
Idaho,YES,YES,NO,Office,YES,NO,unspecified,print or type,NO,NO,NO,"Requesting agency provides their mailing address, fax number, and email address on form. While response can be returned by any of these channels, if an email address is entered then email is considered the default return process.",unspecified,"Payment of $20 must be in the form of a check. 

While the Florida Adam Walsh list states that requests can be mailed, emailed, or faxed, the Idaho form states that requests must be mailed, so I have listed mail only in accordance with what is listed on the official form. ",ID
Illinois,NO,NO,NO,Office,YES,NO,unspecified,print or type,YES,YES,NO,unspecified,unspecified,"Request form is also available online in Spanish. 

If request is submitted by email, the subject line must be ""Out-of-State Child Welfare""

While the request form is easy to find online, there appears to be no source of information about the process (i.e. FAQ, how long it takes, how a response will be sent, etc.)",IL
Indiana,NO,NO,NO,Office,NO,NO,n/a,portal only,NO,NO,YES,Email notification will be sent when the results are available. Requestors can then log in to the portal to see the results.,10 working days (up to 17 working days during seasonal peaks),"First-time requestors must register on Indiana's CPI/CPS Portal to create a request. 

Online process documentation and FAQ is clearer and more thorough than in most other states. 

Requesting organizations can request edits to the applicaant's information by usuing a ""Return Request to Applicant"" button within the online portal, reducing lengthy back-and-forth if applicant data is unclear or incomplete. 

Applicants have 20 days to enter their information in the portal once the requesting organization initiates a request. The applicant receives several automated email reminders to fill out their portion. If the information is not entered in 20 days, the request expires and a new request must be initiated. ",IN
Iowa,NO,NO,NO,Office,YES,NO,unspecified,unspecified,YES,YES,NO,"Uses form to inform if there IS or IS NOT a record of child abuse. Upon further request, the central abuse registry can provide more specific report data.",5-10 business days on average,"The form is confusing since it seems to be used for both agency requestors and self requestors. Section 1 asks for information about the ""person or agency requesting the information"" but then asks for details like maiden names, aliases, SSN, etc. which would not apply to an agency making a request. 

A separate form must be completed for each individual for whom a check is requested. ",IA
Kansas,YES,NO,NO,Office,YES,YES,unspecified,print (in ink),YES,YES,NO,"Requestor can select to have results returned by encrypted email or by postal mail. Form is used to inform whether or not the applicant is listed in the Child Abuse/Neglect Central Registry, and details are attached.",unspecified,"Fee can be paid via check, money order, or cash or through an online payment portal. However, state government agencies are exempt from paying a fee (but private agencies are not). 

Applicant must enter N/A for fields that don't apply to them (such as ""Other Names Used""). If any fields are left blank, the request may be delayed or not completed. 

Requests from state child welfare agencies should also include a signed request on letterhead. 

Email is the preferred submission type, but fax and mail are also accepted. ",KS
Kentucky,NO,NO,NO,Office,YES,NO,unspecified,unspecified,YES,NO,NO,unspecified,unspecified,"No form is required. The state must print their request on letterhead and submit the request via mail or fax. 

Confusingly, Kentucky's CHFS website lists the Adam Walsh forms and requirements of other states, but provides very little information on Kentucky's own requirements. ",KY
