name,population
Alameda,1673133
Alpine,1344
Amador,40095
Butte,217884
Calaveras,45349
Colusa,21780
Contra Costa,1161643
Del Norte,27655
El Dorado,190568
Fresno,1003150
Glenn,28675
Humboldt,137014
Imperial,180051
Inyo,18804
Kern,905644
Kings,151887
Lake,67749
Lassen,32949
Los Angeles,10019635
Madera,156304
Marin,262387
Mariposa,17225
Mendocino,91534
Merced,279150
Modoc,8723
Mono,13291
Monterey,438953
Napa,138795
Nevada,102090
Orange,3182923
Placer,400330
Plumas,19631
Riverside,2409331
Sacramento,1571767
San Benito,63329
San Bernardino,2171071
San Diego,3296317
San Francisco,865933
San Joaquin,771406
San Luis Obispo,282771
San Mateo,762488
Santa Barbara,447651
Santa Clara,1932022
Santa Cruz,272138
Shasta,181935
Sierra,3079
Siskiyou,44151
Solano,451432
Sonoma,492498
Stanislaus,550842
Sutter,99080
Tehama,65345
Trinity,15818
Tulare,470999
Tuolumne,55243
Ventura,845255
Yolo,216703
Yuba,80404
